Released_Year,Certificate,Runtime,Genre,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,writer,country_origin,filming_location,production_company,language,oscar
2009.0,1,95,105,76.0,305,655,409,261,151,472242.0,32391374.0,700,172,646,690,232,
1957.0,0,96,122,96.0,456,252,464,534,421,689845.0,4360000.0,700,172,646,690,232,
2013.0,4,134,87,96.0,468,118,543,565,101,640533.0,56671993.0,341,106,376,368,6,0.0
2019.0,3,119,180,78.0,438,162,259,166,165,425844.0,159227644.0,560,109,511,175,34,0.0
1968.0,0,149,60,84.0,463,349,244,875,178,603517.0,56954992.0,596,106,315,330,135,0.0
2003.0,1,124,132,70.0,14,553,73,594,180,224545.0,16290476.0,218,112,398,505,6,2.0
2002.0,3,135,137,68.0,459,181,68,655,757,169708.0,13060843.0,128,112,77,510,6,0.0
2002.0,4,113,160,73.0,95,131,572,139,20,376853.0,45064915.0,700,172,646,690,232,
2009.0,1,170,100,67.0,394,0,490,587,805,344445.0,6532908.0,44,66,401,238,223,0.0
2009.0,1,170,100,67.0,394,0,490,587,805,344445.0,6532908.0,7,45,307,595,199,0.0
2006.0,4,117,25,52.0,543,232,472,180,206,732876.0,210614939.0,698,118,308,645,6,0.0
2007.0,4,122,22,76.0,208,531,124,71,549,288797.0,53606916.0,224,112,197,296,21,2.0
2007.0,4,113,137,97.0,86,25,457,862,25,56625.0,1185783.0,700,172,646,690,232,
2011.0,3,100,105,72.0,254,331,710,40,113,315426.0,35014192.0,672,112,621,479,6,0.0
1963.0,4,138,137,91.0,133,404,48,149,786,108844.0,50690.0,180,59,601,106,207,0.0
2001.0,1,135,85,72.0,433,531,183,363,157,848920.0,170742341.0,15,112,384,572,6,0.0
1993.0,3,121,130,80.0,418,514,114,495,266,128171.0,17266971.0,91,112,276,425,79,0.0
1983.0,0,93,108,77.0,52,476,531,172,798,132947.0,20605209.0,288,116,20,324,6,0.0
1971.0,4,136,131,77.0,463,401,610,561,899,757904.0,6207725.0,595,106,102,654,6,4.0
1992.0,0,138,179,62.0,413,602,318,187,499,235388.0,141340178.0,4,112,429,119,28,4.0
1964.0,0,87,114,96.0,407,322,616,262,746,40351.0,13780024.0,30,106,442,620,55,2.0
1995.0,0,97,139,83.0,20,387,193,491,771,32236.0,10019307.0,185,112,291,648,28,2.0
1966.0,0,120,87,72.0,145,474,809,708,532,31222.0,28350000.0,532,87,569,249,111,0.0
1935.0,4,96,114,,441,176,272,125,313,30580.0,2537520.0,700,172,646,690,232,
2018.0,1,136,165,88.0,59,370,82,742,300,334312.0,215288866.0,170,112,262,646,28,0.0
2018.0,1,136,165,88.0,59,370,82,742,300,334312.0,215288866.0,329,112,227,58,6,0.0
1951.0,4,122,137,97.0,122,627,510,460,478,99182.0,8000000.0,700,172,646,690,232,
2008.0,1,104,22,,349,41,574,373,0,73891.0,,449,45,310,39,200,0.0
2013.0,3,123,102,55.0,404,168,635,82,561,303032.0,15322921.0,700,172,646,690,232,0.0
1997.0,0,119,169,,13,179,621,124,257,64082.0,368234.0,700,172,646,690,232,
1951.0,4,111,149,72.0,49,362,334,699,708,31568.0,3969893.0,700,172,646,690,232,
2005.0,3,94,95,51.0,24,616,491,607,684,45717.0,1305.0,700,172,646,690,232,
2002.0,3,115,100,83.0,458,461,535,132,859,178565.0,22245861.0,620,112,519,124,106,0.0
1985.0,1,97,95,90.0,313,241,676,849,869,59635.0,10600000.0,354,112,17,488,6,1.0
1972.0,4,95,1,,523,365,682,296,189,52397.0,,700,172,646,690,232,
2016.0,4,145,174,84.0,73,360,421,130,647,113649.0,2006788.0,700,172,646,690,232,
2016.0,1,130,152,,393,8,586,471,709,52897.0,,700,172,646,690,232,
1980.0,0,88,93,78.0,226,160,367,704,464,214882.0,83400000.0,303,112,370,384,6,1.0
2010.0,3,119,22,,224,642,687,799,323,62848.0,6460.0,700,172,646,690,232,
1988.0,1,124,66,,271,449,594,517,852,164918.0,553171.0,366,62,603,19,210,0.0
1988.0,1,124,66,,271,449,594,517,852,164918.0,553171.0,565,45,419,6,198,0.0
1992.0,0,90,67,86.0,432,324,704,713,541,373845.0,217350219.0,318,164,627,607,11,0.0
1992.0,0,90,67,86.0,432,324,704,713,541,373845.0,217350219.0,550,112,630,617,6,0.0
1992.0,0,90,67,86.0,432,324,704,713,541,373845.0,217350219.0,125,68,402,86,6,0.0
1979.0,3,117,195,89.0,411,564,777,398,884,787806.0,78900000.0,119,106,534,530,6,0.0
1986.0,0,137,11,84.0,202,564,538,111,693,652719.0,85160248.0,264,106,48,529,149,0.0
1950.0,4,138,137,98.0,258,64,45,264,138,120539.0,10177.0,700,172,646,690,232,
1930.0,0,152,182,91.0,292,385,481,405,59,57318.0,3270000.0,163,40,93,34,195,0.0
1979.0,4,123,163,72.0,53,529,371,39,529,28223.0,37823676.0,530,112,335,140,149,0.0
1976.0,0,138,87,84.0,11,174,660,332,592,103031.0,70600000.0,79,112,459,675,149,0.0
2000.0,4,122,40,90.0,67,70,609,445,264,252586.0,32534850.0,78,112,616,169,28,0.0
1984.0,3,160,87,88.0,342,203,776,213,763,369007.0,51973029.0,492,127,84,497,88,0.0
1973.0,3,123,101,,133,400,90,663,58,39897.0,,181,59,494,192,209,0.0
1999.0,1,122,137,84.0,438,358,47,820,902,1069738.0,130096601.0,17,112,508,172,6,0.0
2007.0,4,157,84,76.0,411,165,680,128,447,392449.0,130164645.0,616,152,157,577,170,2.0
1998.0,3,119,137,62.0,507,181,187,78,394,1034705.0,6719864.0,137,112,625,362,6,1.0
2000.0,4,101,95,64.0,315,128,422,415,90,490062.0,15070285.0,70,112,468,28,150,0.0
2000.0,4,154,179,83.0,14,191,242,277,936,223741.0,5383834.0,700,172,646,690,232,
2012.0,1,127,172,94.0,330,300,208,321,24,93090.0,6739492.0,437,23,568,289,185,0.0
2001.0,0,122,119,69.0,219,51,520,723,550,703810.0,33225499.0,217,22,504,109,190,5.0
1971.0,0,122,166,,188,494,30,791,724,30273.0,,241,45,420,443,198,0.0
1959.0,4,161,129,95.0,369,282,465,72,61,59847.0,11900000.0,700,172,646,690,232,
